data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2026-08-20 01:58:08.516640;19;CARRIS PORTO-ALEGRENSE LTDA;JAC7I83;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2026-08-20 01:58:08.516640;10;CARRIS PORTO-ALEGRENSE LTDA;JAC8D44;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2026-08-20 01:58:08.516640;87;CARRIS PORTO-ALEGRENSE LTDA;JAD8E58;M. BENZ;OF 1721L;2020-08-14;2020;DIESEL
2026-08-20 01:58:08.516640;88;CARRIS PORTO-ALEGRENSE LTDA;JAD8E73;M. BENZ;OF 1721L;2020-08-14;2020;DIESEL
2026-08-20 01:58:08.516640;33;CARRIS PORTO-ALEGRENSE LTDA;JAD8J41;M. BENZ;OF 1721L;2020-08-14;2020;DIESEL
2026-08-20 01:58:08.516640;6643;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JBP4G59;M. BENZ;OF 1721                                           ;2022-07-05;2022;DIESEL
2026-08-20 01:58:08.516640;4828;AUTO VIACAO PRESIDENTE VARGAS LTDA;JBR3H58;VW;15190;2022-05-13;2022;DIESEL
2026-08-20 01:58:08.516640;1018;TRANSPORTES COLETIVOS TREVO LTDA;JBS2H65;M. BENZ;OF 1721L;2022-09-29;2022;DIESEL
2026-08-20 01:58:08.516640;3366;SUDESTE TRANSPORTES COLETIVOS LTDA;JBX4D76;M. BENZ;OF 1721                                           ;2023-04-13;2022;DIESEL
2026-08-20 01:58:08.516640;4336;VIACAO ESTORIL LTDA;IXC3097;M. BENZ;O-500M                                            ;2016-02-18;2015;DIESEL
2026-08-20 01:58:08.516640;2419;RESTINGA TRANSPORTES COLETIVOS LTDA;IXB9E10;M. BENZ;O500MA                                            ;2016-02-10;2015;DIESEL
2026-08-20 01:58:08.516640;2168;VIACAO TERESOPOLIS CAVALHADA LTDA;IXB9458;M. BENZ;O-500M                                            ;2016-02-13;2015;DIESEL
2026-08-20 01:58:08.516640;6619;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IZP2C18;M. BENZ;OF 1721L;2019-10-02;2019;DIESEL
2026-08-20 01:58:08.516640;6423;NORTRAN TRANSPORTES COLETIVOS LTDA;IZQ0F16;M. BENZ;OF 1721L;2019-10-16;2019;DIESEL
2026-08-20 01:58:08.516640;53;CARRIS PORTO-ALEGRENSE LTDA;JAC7I95;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2026-08-20 01:58:08.516640;78;CARRIS PORTO-ALEGRENSE LTDA;JAD8D82;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2026-08-20 01:58:08.516640;6721;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JBS9A45;M. BENZ;OF 1721                                           ;2022-09-21;2022;DIESEL
2026-08-20 01:58:08.516640;2133;VIACAO TERESOPOLIS CAVALHADA LTDA;JBU8J70;M. BENZ;OF 1721L;2022-11-29;2022;DIESEL
2026-08-20 01:58:08.516640;6587;NORTRAN TRANSPORTES COLETIVOS LTDA;JBJ4A30;M. BENZ;OF 1721                                           ;2022-01-06;2021;DIESEL
